Classement;Equipe;Score total;Points precedents;+/-;Champion;Finaliste;2014;2010;2006;2002;1998;1994;1990;1986;1982;1978;2018;2022
140;Guatemala;198(197.93);245;-14;;;;;;;;;;;;;0;0
141;Comores;195(194.57);230;-9;;;;;;;;;;;;;0;0
142;Hongkong;194(194.34);190;3;;;;;;;;;;;;;0;0
142;Afghanistan;194(193.6);176;6;;;;;;;;;;;;;0;0
144;Guinee equatoriale;190(189.98);213;-6;;;;;;;;;;;;;0;0
145;Ethiopie;188(188.34);221;-8;;;;;;;;;;;;;0;0
145;Burundi;188(187.74);203;-3;;;;;;;;;;;;;0;0
147;Maldives (Iles);183(183.03);161;3;;;;;;;;;;;;;0;0
148;Botswana;176(175.88);173;1;;;;;;;;;;;;;0;0
149;Republique dominicaine;175(175.15);121;14;;;;;;;;;;;;;0;0
149;Lesotho;175(174.93);193;-5;;;;;;;;;;;;;0;0
151;Liberia;167(166.76);224;-16;;;;;;;;;;;;;0;0
152;Kosovo;164(163.57);97;24;;;;;;;;;;;;;0;0
153;Salomon (Iles);162(161.61);152;-2;;;;;;;;;;;;;0;0
154;Suriname;140(140.25);140;3;;;;;;;;;;;;;0;0
155;Soudan du Sud;139(138.93);148;-1;;;;;;;;;;;;;0;0
156;Vanuatu;136(135.74);141;0;;;;;;;;;;;;;0;0
157;Nouvelle-Caledonie;135(134.67);146;-2;;;;;;;;;;;;;0;0
158;Porto Rico;128(128.16);112;8;;;;;;;;;;;;;0;0
159;Maurice;122(122.33);134;-1;;;;;;;;;;;;;0;0
160;Barbade;118(117.63);151;-8;;;;;;;;;;;;;0;0
161;Tahiti;117(117.48);149;-8;;;;;;;;;;;;;0;0
162;Indonesie;111(111.49);123;0;;;;;;;;;;;;;0;0
162;Guyana;111(111.15);126;-3;;;;;;;;;;;;;0;0
162;Nepal;111(110.9);116;3;;;;;;;;;;;;;0;0
165;Tchad;110(109.82);110;3;;;;;;;;;;;;;0;0
165;Fidji;110(109.75);110;3;;;;;;;;;;;;;0;0
167;Belize;107(106.81);96;10;;;;;;;;;;;;;0;0
168;Sainte-Lucie;105(105.1);101;5;;;;;;;;;;;;;0;0
168;Cambodge;105(104.71);103;3;;;;;;;;;;;;;0;0
170;Malaisie;104(103.65);95;8;;;;;;;;;;;;;0;0
171;Grenade;103(103.13);126;-12;;;;;;;;;;;;;0;0
172;Singapour;102(102.15);103;-1;;;;;;;;;;;;;0;0
173;Moldavie;98(97.52);105;-3;;;;;;;;;;;;;0;0
174;Saint-Vincent-et-les-Grenadines;95(94.53);100;1;;;;;;;;;;;;;0;0
175;Gambie;94(94.44);120;-11;;;;;;;;;;;;;0;0
176;Koweit;88(88.45);101;-3;;;;;;;;;;;;;0;0
176;Dominique;88(88.05);112;-10;;;;;;;;;;;;;0;0
178;Bermudes;82(82.49);78;6;;;;;;;;;;;;;0;0
179;Laos;80(79.69);82;4;;;;;;;;;;;;;0;0
180;Papouasie-Nouvelle-Guinee;78(78.41);126;-21;;;;;;;;;;;;;0;0
181;Liechtenstein;77(76.7);91;0;;;;;;;;;;;;;0;0
182;Cuba;75(74.88);88;0;;;;;;;;;;;;;0;0
182;Aruba;75(74.85);92;-2;;;;;;;;;;;;;0;0
184;Bhoutan;68(68);63;4;;;;;;;;;;;;;0;0
185;Malte;62(61.65);68;0;;;;;;;;;;;;;0;0
186;Macau;60(60.11);65;0;;;;;;;;;;;;;0;0
187;Sao Tome e Principe;59(58.97);94;-8;;;;;;;;;;;;;0;0
188;Mongolie;51(51);49;1;;;;;;;;;;;;;0;0
189;Guam;45(44.96);43;2;;;;;;;;;;;;;0;0
190;Timor Oriental;44(43.94);44;0;;;;;;;;;;;;;0;0
191;Samoa americaines;38(38.25);38;3;;;;;;;;;;;;;0;0
191;Cook (Iles);38(38.25);38;3;;;;;;;;;;;;;0;0
191;Samoa;38(38.25);38;3;;;;;;;;;;;;;0;0
194;Brunei;36(36.12);39;-1;;;;;;;;;;;;;0;0
194;Seychelles;36(35.62);43;-3;;;;;;;;;;;;;0;0
196;Gibraltar;34(34.16);0;10;;;;;;;;;;;;;0;0
197;Bangladesh;33(33.19);31;0;;;;;;;;;;;;;0;0
198;Djibouti;27(26.56);64;-11;;;;;;;;;;;;;0;0
199;Iles Vierges Americaines;18(17.6);26;-1;;;;;;;;;;;;;0;0
200;Montserrat;17(17.45);20;-1;;;;;;;;;;;;;0;0
200;Sri Lanka;17(16.76);16;0;;;;;;;;;;;;;0;0
202;Turks et Caicos;13(13.2);13;-1;;;;;;;;;;;;;0;0
203;Pakistan;10(10.17);12;0;;;;;;;;;;;;;0;0
204;Caimans (Iles);8(8.5);13;-3;;;;;;;;;;;;;0;0
205;Saint-Marin;8(7.92);11;-1;;;;;;;;;;;;;0;0
206;Iles Vierges Britanniques;4(3.54);6;-1;;;;;;;;;;;;;0;0
207;Anguilla;0(0);0;-1;;;;;;;;;;;;;0;0
207;Bahamas;0(0);0;-1;;;;;;;;;;;;;0;0
207;Erythree;0(0);0;-1;;;;;;;;;;;;;0;0
207;Somalie;0(0);0;-1;;;;;;;;;;;;;0;0
207;Tonga;0(0);0;-1;;;;;;;;;;;;;0;0
